RelativePath	ProcCount	Procs
HO/Retailbanking/c_LoanScheme.aspx	14	pr_b_checkacctdependency;pr_c_getloanschemeslabs;pr_c_updateirschonslabprocess;pr_p_createannex;pr_p_getdeleteschemebankbranches;pr_p_getloadschemecontributors;pr_p_getloadschemeorgbank;pr_p_getloadschemepurposes;pr_p_getreportoptionschemedetails;pr_p_getsqschemedetails;pr_p_getupdateschemebankbranches;pr_p_getupdateschemecontributors;pr_p_getupdateschemepurposes;pr_p_validateloanschemeslab
HO/Retailbanking/d_DepositScheme.aspx	7	pr_d_depositschemelog;pr_d_depschemetranrule;pr_d_getcountoffdac;pr_d_getdepositschemelist;pr_d_getdepositschemeslabs;pr_d_getfdir;pr_x_savedepositschemebranchmapping
HO/Retailbanking/d_DepositSchemeBulk.aspx	2	pr_d_bulkdepositschemedetails;pr_d_getdepositschemelist
HO/Retailbanking/d_DepSchExclDEAF.aspx	1	pr_d_depschexcldeaf
HO/Retailbanking/d_TDSCategoryWiseSetting.aspx	3	pr_d_gettdscategory;pr_d_gettdscategorycode;pr_d_gettdscategorywisesetting
HO/Retailbanking/DayendCOABalTrf.aspx	2	pr_b_savedayendcoabaltrf;pr_b_sb_dayendcoabaltrf
HO/Retailbanking/DepositHeadValidateMap.aspx	3	pr_g_mapaccountheadfor5;pr_g_mappaccountheadfor20;pr_g_totalaccountheaddeposit
HO/Retailbanking/FinancialRatioParamRang.aspx	1	pr_rp_getfinratioparamrange
HO/Retailbanking/g_AllowMinimumBelowBalSourceMapping.aspx	2	pr_g_allowminimumbelowbalsourcemapping;pr_g_sb_allowminimumbelowbalsourcemapping
HO/Retailbanking/g_auditCommitteeMembers.aspx	1	pr_g_sb_getauditcommitteemembers
HO/Retailbanking/g_BSTemplateDesign.aspx	7	pr_g_bsaccountheadlist;pr_g_bsnotestreeview;pr_g_bstemplatedelete;pr_g_bstemplategeneratecode;pr_g_bstemplateparentlist;pr_g_bstemplatestructure;pr_g_bstemplatetreeview
HO/Retailbanking/g_BSTemplateMaster.aspx	1	pr_g_bstemplatecopy
HO/Retailbanking/g_BSTemplateReport.aspx	4	pr_g_bsreportlevel;pr_g_bstemplatereport;pr_g_bstemplaterpthorizontal;pr_g_getconsbranches
